JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2429044.01	7.5			Vis.	GO								V				RX BOO		STD				
2429052.97	7.7			Vis.	GO								V				RX BOO		STD				
2429065.12	7.6			Vis.	GO								V				RX BOO		STD				
2429076.06	7.7			Vis.	GO								V				RX BOO		STD				
2429104.03	8.0			Vis.	GO								V				RX BOO		STD				
2429131.95	8.0			Vis.	GO								V				RX BOO		STD				
2429134.94	7.8			Vis.	GO								V				RX BOO		STD				
2429145.94	7.6			Vis.	GO								V				RX BOO		STD				
2430150.36	8.1			Vis.	CC	C							V				RX BOO		STD				
2430161.33	8.1			Vis.	CC								V				RX BOO		STD				
2430172.37	8.1			Vis.	CC								V				RX BOO		STD				
2430236.30	8.0			Vis.	CC	C							V				RX BOO		STD				
2431917.32	8.0			Vis.	PD								V				RX BOO		STD				
2431961.31	8.0			Vis.	PD								V				RX BOO		STD				
2432002.43	7.8			Vis.	CC								V				RX BOO		STD				
2432023.38	8.1			Vis.	CC								V				RX BOO		STD				
2432025.4	8.0			Vis.	CC								V				RX BOO		STD				
2432027.41	8.0			Vis.	CC								V				RX BOO		STD				
2432030.37	7.9			Vis.	CC								V				RX BOO		STD				
2432032.4	8.1			Vis.	CC								V				RX BOO		STD				
2432034.38	8.1			Vis.	CC								V				RX BOO		STD				
2432052.37	8.3			Vis.	CC								V				RX BOO		STD				
2432058.34	8.3			Vis.	CC								V				RX BOO		STD				
2432061.31	8.4			Vis.	CC								V				RX BOO		STD				
2432065.34	8.4			Vis.	CC								V				RX BOO		STD				
2432265.33	8.0			Vis.	CC								V				RX BOO		STD				
2432346.4	8.0			Vis.	CC								V				RX BOO		STD				
2432353.35	8.0			Vis.	CC								V				RX BOO		STD				
2432359.42	7.8			Vis.	CC								V				RX BOO		STD				
2432366.41	8.1			Vis.	CC								V				RX BOO		STD				
2432368.39	8.1			Vis.	CC								V				RX BOO		STD				
2432376.38	8.0			Vis.	CC								V				RX BOO		STD				
2432379.33	8.0			Vis.	CC								V				RX BOO		STD				
2432384.35	8.1			Vis.	CC								V				RX BOO		STD				
2432388.37	8.1			Vis.	CC								V				RX BOO		STD				
2432395.36	8.0			Vis.	CC								V				RX BOO		STD				
2432408.31	7.9			Vis.	CC	X							V				RX BOO		STD				
2432413.33	8.0			Vis.	CC	X							V				RX BOO		STD				
2432419.35	7.9			Vis.	CC	X							V				RX BOO		STD				
2432420.33	7.9			Vis.	CC	X							V				RX BOO		STD				
2432423.35	8.0			Vis.	CC	X							V				RX BOO		STD				
2432428.31	7.9			Vis.	CC	X							V				RX BOO		STD				
2432431.3	8.1			Vis.	CC	H							V				RX BOO		STD				
2432438.31	7.9			Vis.	CC								V				RX BOO		STD				
2432439.31	8.1			Vis.	CC								V				RX BOO		STD				
2432656.33	8.1			Vis.	CC								V				RX BOO		STD				
2432683.32	7.8			Vis.	CC								V				RX BOO		STD				
2432688.32	7.9			Vis.	CC								V				RX BOO		STD				
2432723.4	7.9			Vis.	ELD								V				RX BOO		STD				
2432748.33	7.9			Vis.	CC								V				RX BOO		STD				
2432755.21	8.0			Vis.	CC								V				RX BOO		STD				
2432771.31	7.9			Vis.	CC								V				RX BOO		STD				
2432777.28	8.0			Vis.	CC								V				RX BOO		STD				
2432780.3	7.9			Vis.	SVS								V				RX BOO		STD				
2432781.32	8.1			Vis.	ELD								V				RX BOO		STD				
2432782.29	8.1			Vis.	CC								V				RX BOO		STD				
2432796.28	8.0			Vis.	SVS								V				RX BOO		STD				
2432798.29	8.1			Vis.	CC								V				RX BOO		STD				
2432810.32	8.2			Vis.	SVS								V				RX BOO		STD				
2433037.31	8.1			Vis.	CC								V				RX BOO		STD				
2433086.35	8.3			Vis.	CC								V				RX BOO		STD				
2433122.38	8.1			Vis.	CC								V				RX BOO		STD				
2433183.3	8.0			Vis.	CC								V				RX BOO		STD				
2433360.6	8.1			Vis.	OV								V				RX BOO		STD				
2433371.6	7.9			Vis.	OV								V				RX BOO		STD				
2433381.6	8.0			Vis.	OV								V				RX BOO		STD				
2433457.35	7.9			Vis.	CC								V				RX BOO		STD				
2433542.6	8.1			Vis.	OV								V				RX BOO		STD				
2433918.6	8.2			Vis.	OV								V				RX BOO		STD				
2434089.6	8.3			Vis.	OV								V				RX BOO		STD				
2434133.6	8.0			Vis.	OV								V				RX BOO		STD				
2434162.34	8.0			Vis.	CC								V				RX BOO		STD				
2434167.3	8.1			Vis.	ELD								V				RX BOO		STD				
2434175.36	8.2			Vis.	ELD								V				RX BOO		STD				
2434179.35	8.1			Vis.	CC								V				RX BOO		STD				
2434180.32	8.2			Vis.	ELD								V				RX BOO		STD				
2434182.3	8.2			Vis.	ELD								V				RX BOO		STD				
2434186.33	8.3			Vis.	ELD								V				RX BOO		STD				
2434190.31	8.3			Vis.	ELD								V				RX BOO		STD				
2434190.39	8.0			Vis.	CC								V				RX BOO		STD				
2434194.32	8.3			Vis.	ELD								V				RX BOO		STD				
2434196.7	8.6			Vis.	OV								V				RX BOO		STD				
2434199.34	8.3			Vis.	ELD								V				RX BOO		STD				
2434204.32	8.4			Vis.	ELD								V				RX BOO		STD				
2434207.38	8.4			Vis.	ELD								V				RX BOO		STD				
2434209.3	8.4			Vis.	ELD								V				RX BOO		STD				
2434215.31	8.4			Vis.	ELD								V				RX BOO		STD				
2434217.34	8.4			Vis.	ELD								V				RX BOO		STD				
2434217.36	8.1			Vis.	CC								V				RX BOO		STD				
2434219.7	8.6			Vis.	OV								V				RX BOO		STD				
2434222.3	8.4			Vis.	ELD								V				RX BOO		STD				
2434222.31	8.1			Vis.	CC								V				RX BOO		STD				
2434230.31	8.4			Vis.	ELD								V				RX BOO		STD				
2434234.31	8.4			Vis.	ELD								V				RX BOO		STD				
2434236.36	8.2			Vis.	CC								V				RX BOO		STD				
2434238.34	8.4			Vis.	ELD								V				RX BOO		STD				
2434241.3	8.4			Vis.	ELD								V				RX BOO		STD				
2434244.29	8.4			Vis.	ELD								V				RX BOO		STD				
2434244.3	8.3			Vis.	CC								V				RX BOO		STD				
2434246.3	8.2			Vis.	CC								V				RX BOO		STD				
2434247.28	8.5			Vis.	ELD								V				RX BOO		STD				
2434253.29	8.4			Vis.	ELD								V				RX BOO		STD				
2434255.29	8.4			Vis.	ELD								V				RX BOO		STD				
2434260.29	8.4			Vis.	ELD								V				RX BOO		STD				
2434263.27	8.4			Vis.	ELD								V				RX BOO		STD				
2434264.27	8.4			Vis.	ELD								V				RX BOO		STD				
2434266.26	8.4			Vis.	ELD								V				RX BOO		STD				
2434268.24	8.4			Vis.	ELD								V				RX BOO		STD				
2434271.24	8.4			Vis.	ELD								V				RX BOO		STD				
2434272.25	8.5			Vis.	ELD								V				RX BOO		STD				
2434274.26	8.5			Vis.	ELD								V				RX BOO		STD				
2434275.24	8.4			Vis.	ELD								V				RX BOO		STD				
2434280.24	8.3			Vis.	ELD								V				RX BOO		STD				
2434282.24	8.3			Vis.	ELD								V				RX BOO		STD				
2434285.24	8.3			Vis.	ELD								V				RX BOO		STD				
2434297.6	8.5			Vis.	OV								V				RX BOO		STD				
2434431.6	8.1			Vis.	OV								V				RX BOO		STD				
2434433.67	8.2			Vis.	ELD								V				RX BOO		STD				
2434447.6	8.2			Vis.	OV								V				RX BOO		STD				
2434454.6	8.1			Vis.	OV								V				RX BOO		STD				
2434460.63	8.0			Vis.	ELD								V				RX BOO		STD				
2434462.63	8.1			Vis.	ELD								V				RX BOO		STD				
2434464.64	8.1			Vis.	ELD								V				RX BOO		STD				
2434470.36	8.0			Vis.	ELD								V				RX BOO		STD				
2434471.34	8.0			Vis.	ELD								V				RX BOO		STD				
2434473.33	7.9			Vis.	ELD								V				RX BOO		STD				
2434473.7	8.0			Vis.	OV								V				RX BOO		STD				
2434475.33	7.9			Vis.	ELD								V				RX BOO		STD				
2434476.37	7.9			Vis.	ELD								V				RX BOO		STD				
2434478.31	7.9			Vis.	ELD								V				RX BOO		STD				
2434479.44	7.9			Vis.	ELD								V				RX BOO		STD				
2434481.29	7.9			Vis.	ELD								V				RX BOO		STD				
2434482.33	7.9			Vis.	ELD								V				RX BOO		STD				
2434484.7	8.1			Vis.	OV								V				RX BOO		STD				
2434486.34	8.0			Vis.	ELD								V				RX BOO		STD				
2434487.37	8.0			Vis.	ELD								V				RX BOO		STD				
2434489.26	7.9			Vis.	ELD								V				RX BOO		STD				
2434490.31	8.0			Vis.	ELD								V				RX BOO		STD				
2434492.59	8.0			Vis.	ELD								V				RX BOO		STD				
2434493.37	7.9			Vis.	ELD								V				RX BOO		STD				
2434494.37	7.9			Vis.	ELD								V				RX BOO		STD				
2434497.27	7.9			Vis.	ELD								V				RX BOO		STD				
2434498.28	7.9			Vis.	ELD								V				RX BOO		STD				
2434499.29	8.0			Vis.	ELD								V				RX BOO		STD				
2434502.31	8.0			Vis.	ELD								V				RX BOO		STD				
2434504.36	8.0			Vis.	ELD								V				RX BOO		STD				
2434507.4	8.0			Vis.	ELD								V				RX BOO		STD				
2434508.29	8.0			Vis.	ELD								V				RX BOO		STD				
2434509.27	8.0			Vis.	ELD								V				RX BOO		STD				
2434514.42	8.2			Vis.	ELD								V				RX BOO		STD				
2434515.41	8.2			Vis.	ELD								V				RX BOO		STD				
2434518.31	8.2			Vis.	ELD								V				RX BOO		STD				
2434519.32	8.0			Vis.	ELD								V				RX BOO		STD				
2434523.31	8.1			Vis.	ELD								V				RX BOO		STD				
2434525.36	8.1			Vis.	ELD								V				RX BOO		STD				
2434526.3	8.0			Vis.	ELD								V				RX BOO		STD				
2434529.32	7.7			Vis.	ELD								V				RX BOO		STD				
2434530.33	8.1			Vis.	ELD								V				RX BOO		STD				
2434531.29	8.2			Vis.	ELD								V				RX BOO		STD				
2434531.7	8.6			Vis.	OV								V				RX BOO		STD				
2434532.37	8.1			Vis.	ELD								V				RX BOO		STD				
2434535.31	8.1			Vis.	ELD								V				RX BOO		STD				
2434537.39	8.3			Vis.	ELD								V				RX BOO		STD				
2434538.3	8.2			Vis.	ELD								V				RX BOO		STD				
2434539.35	8.3			Vis.	ELD								V				RX BOO		STD				
2434540.3	8.2			Vis.	ELD								V				RX BOO		STD				
2434540.7	8.7			Vis.	OV								V				RX BOO		STD				
2434541.32	8.3			Vis.	ELD								V				RX BOO		STD				
2434542.38	8.3			Vis.	ELD								V				RX BOO		STD				
2434543.38	8.5			Vis.	ELD								V				RX BOO		STD				
2434545.3	8.2			Vis.	ELD								V				RX BOO		STD				
2434546.3	8.2			Vis.	ELD								V				RX BOO		STD				
2434547.3	8.3			Vis.	ELD								V				RX BOO		STD				
2434548.37	8.4			Vis.	ELD								V				RX BOO		STD				
2434549.44	8.5			Vis.	ELD								V				RX BOO		STD				
2434550.33	8.5			Vis.	ELD								V				RX BOO		STD				
2434552.7	8.7			Vis.	OV								V				RX BOO		STD				
2434554.31	8.5			Vis.	ELD								V				RX BOO		STD				
2434556.33	8.5			Vis.	ELD								V				RX BOO		STD				
2434557.37	8.5			Vis.	ELD								V				RX BOO		STD				
2434558.32	8.5			Vis.	ELD								V				RX BOO		STD				
2434559.3	8.5			Vis.	ELD								V				RX BOO		STD				
2434560.32	8.5			Vis.	ELD								V				RX BOO		STD				
2434562.31	8.5			Vis.	ELD								V				RX BOO		STD				
2434562.7	8.6			Vis.	OV								V				RX BOO		STD				
2434563.36	8.5			Vis.	ELD								V				RX BOO		STD				
2434564.35	8.5			Vis.	ELD								V				RX BOO		STD				
2434565.31	8.5			Vis.	ELD								V				RX BOO		STD				
2434567.29	8.6			Vis.	ELD								V				RX BOO		STD				
2434569.3	8.5			Vis.	ELD								V				RX BOO		STD				
2434569.7	8.7			Vis.	OV								V				RX BOO		STD				
2434570.33	8.4			Vis.	ELD								V				RX BOO		STD				
2434571.36	8.5			Vis.	ELD								V				RX BOO		STD				
2434572.31	8.5			Vis.	ELD								V				RX BOO		STD				
2434573.4	8.6			Vis.	ELD								V				RX BOO		STD				
2434574.39	8.6			Vis.	ELD								V				RX BOO		STD				
2434575.35	8.5			Vis.	ELD								V				RX BOO		STD				
2434576.41	8.6			Vis.	ELD								V				RX BOO		STD				
2434576.7	8.6			Vis.	OV								V				RX BOO		STD				
2434578.38	8.6			Vis.	ELD								V				RX BOO		STD				
2434580.29	8.5			Vis.	ELD								V				RX BOO		STD				
2434582.3	8.5			Vis.	ELD								V				RX BOO		STD				
2434583.36	8.6			Vis.	ELD								V				RX BOO		STD				
2434586.28	8.6			Vis.	ELD								V				RX BOO		STD				
2434587.28	8.6			Vis.	ELD								V				RX BOO		STD				
2434588.29	8.6			Vis.	ELD								V				RX BOO		STD				
2434590.29	8.5			Vis.	ELD								V				RX BOO		STD				
2434591.3	8.6			Vis.	ELD								V				RX BOO		STD				
2434592.37	8.7			Vis.	ELD								V				RX BOO		STD				
2434592.7	8.6			Vis.	OV								V				RX BOO		STD				
2434594.3	8.5			Vis.	ELD								V				RX BOO		STD				
2434595.35	8.6			Vis.	ELD								V				RX BOO		STD				
2434599.29	8.7			Vis.	ELD								V				RX BOO		STD				
