 lambda 	 <C_abs>/v 	 <C_sca>/v
0.001 	 9.65750007707102e-06 	 0.033304451895725305
0.001012 	 9.983884585586462e-06 	 0.03321202734930483
0.001023 	 1.0328552056724507e-05 	 0.03323627451624955
0.001035 	 1.0671262344866385e-05 	 0.03331609394225228
0.001047 	 1.1021615363468108e-05 	 0.033375678190709836
0.001059 	 1.1390841850807714e-05 	 0.03341679991136917
0.001072 	 1.176732430534741e-05 	 0.03350209234046382
0.001084 	 1.2172171323228827e-05 	 0.033507107390817525
0.001096 	 1.2594066179077377e-05 	 0.03367560570268008
0.001109 	 1.301704237882272e-05 	 0.033700810722109925
0.001122 	 1.3451911167907442e-05 	 0.0337079749814291
0.001135 	 1.3912559043705701e-05 	 0.03369899358620369
0.001148 	 1.4394582064099432e-05 	 0.03383775133868387
0.001161 	 1.4893764460153206e-05 	 0.033955184794100236
0.001175 	 1.5396421978025198e-05 	 0.03393679106558048
0.001189 	 1.591112711964536e-05 	 0.03390188088460566
0.001202 	 1.644776547627732e-05 	 0.034113374130551044
0.001216 	 1.6982311964957726e-05 	 0.034043788965951706
0.00123 	 1.7524487272998247e-05 	 0.03410335457006715
0.001245 	 1.807905992281132e-05 	 0.034035663988744726
0.001259 	 1.8693223508636063e-05 	 0.034199051727232165
0.001274 	 1.9310579859031894e-05 	 0.0342333549687824
0.001288 	 1.9957379476533993e-05 	 0.034355825263074145
0.001303 	 2.0599378773179776e-05 	 0.03435337094072613
0.001318 	 2.1272944212633454e-05 	 0.03446035167942435
0.001334 	 2.1960522530730124e-05 	 0.034323188942058935
0.001349 	 2.269370667570625e-05 	 0.03451500281890367
0.001365 	 2.34322482836757e-05 	 0.03446710919002043
0.00138 	 2.4215287904446615e-05 	 0.03461917584686621
0.001396 	 2.5004283453525083e-05 	 0.03465224228906155
0.001413 	 2.5811720791935203e-05 	 0.03467978523358381
0.001429 	 2.6669682411777174e-05 	 0.034786914675278564
0.001445 	 2.7556379458251626e-05 	 0.03487560623369697
0.001462 	 2.844029598626129e-05 	 0.03485090622245278
0.001479 	 2.9375226602668567e-05 	 0.03491257620008289
0.001496 	 3.0316038365700166e-05 	 0.03495563787312252
0.001514 	 3.1295472634046535e-05 	 0.03489203577585561
0.001531 	 3.2325975578837976e-05 	 0.03499941916523871
0.001549 	 3.336471841582379e-05 	 0.03499860722166852
0.001567 	 3.4431401091084956e-05 	 0.03507133027245427
0.001585 	 3.555065667827305e-05 	 0.03512798321558375
0.001603 	 3.669540834417763e-05 	 0.03516824430404777
0.001622 	 3.7891497470171895e-05 	 0.0351918596497875
0.001641 	 3.908463095145118e-05 	 0.03519789783492872
0.00166 	 4.03482401156155e-05 	 0.03527061690649676
0.001679 	 4.1607421526952046e-05 	 0.035247638963818946
0.001698 	 4.295793354048684e-05 	 0.0353665228367508
0.001718 	 4.432365049440862e-05 	 0.03538592681761397
0.001738 	 4.5751331283723194e-05 	 0.03539262284537212
0.001758 	 4.7192724455166604e-05 	 0.035454733808231484
0.001778 	 4.8692989469101e-05 	 0.03550307684825442
0.001799 	 5.019967992762422e-05 	 0.03545832633300559
0.00182 	 5.178310506861639e-05 	 0.035470366402924274
0.001841 	 5.344064363354459e-05 	 0.035535534159033
