IRAS Source: 14219+2555  = RX Boo     
          7.67360E+00         3.02438E-10
          7.86360E+00         2.82567E-10
          8.04850E+00         2.59188E-10
          8.22860E+00         2.45600E-10
          8.40430E+00         2.26817E-10
          8.57580E+00         2.26985E-10
          8.74360E+00         2.17457E-10
          8.90780E+00         2.16741E-10
          9.06860E+00         2.19167E-10
          9.22620E+00         2.24227E-10
          9.38090E+00         2.32702E-10
          9.53280E+00         2.34872E-10
          9.68200E+00         2.45031E-10
          9.82860E+00         2.55229E-10
          9.97280E+00         2.48017E-10
          1.01148E+01         2.46899E-10
          1.02545E+01         2.41529E-10
          1.03922E+01         2.35908E-10
          1.05279E+01         2.33390E-10
          1.06616E+01         2.31100E-10
          1.07935E+01         2.38877E-10
          1.09237E+01         2.35750E-10
          1.10521E+01         2.31082E-10
          1.11790E+01         2.29671E-10
          1.13042E+01         2.24513E-10
          1.14280E+01         2.24258E-10
          1.15503E+01         2.19984E-10
          1.16711E+01         2.15574E-10
          1.17907E+01         2.06986E-10
          1.19089E+01         2.02729E-10
          1.20258E+01         2.00839E-10
          1.21415E+01         1.89371E-10
          1.22560E+01         1.86221E-10
          1.23693E+01         1.88096E-10
          1.24816E+01         1.81295E-10
          1.25927E+01         1.83024E-10
          1.27028E+01         1.83581E-10
          1.28118E+01         1.91474E-10
          1.29199E+01         1.91551E-10
          1.30269E+01         1.94131E-10
          1.31330E+01         1.88459E-10
          1.32382E+01         1.81831E-10
          1.33425E+01         1.71015E-10
          1.34459E+01         1.60018E-10
          1.06020E+01         2.36781E-10
          1.09929E+01         2.29998E-10
          1.13704E+01         2.17891E-10
          1.17357E+01         2.14587E-10
          1.20899E+01         1.92457E-10
          1.24339E+01         1.90306E-10
          1.27687E+01         1.89780E-10
          1.30948E+01         1.78941E-10
          1.34131E+01         1.60896E-10
          1.37239E+01         1.48595E-10
          1.40278E+01         1.37718E-10
          1.43252E+01         1.28592E-10
          1.46166E+01         1.24401E-10
          1.49022E+01         1.19627E-10
          1.51825E+01         1.12705E-10
          1.54576E+01         1.11032E-10
          1.57280E+01         1.07035E-10
          1.59937E+01         1.08281E-10
          1.62551E+01         1.05057E-10
          1.65123E+01         1.01066E-10
          1.67656E+01         1.00559E-10
          1.70151E+01         1.00807E-10
          1.72610E+01         9.84590E-11
          1.75034E+01         9.90305E-11
          1.77425E+01         1.00376E-10
          1.79784E+01         9.70047E-11
          1.82113E+01         9.40920E-11
          1.84412E+01         9.33385E-11
          1.86682E+01         9.53791E-11
          1.88925E+01         9.65270E-11
          1.91142E+01         9.39570E-11
          1.93334E+01         9.45587E-11
          1.95500E+01         9.11203E-11
          1.97643E+01         8.97882E-11
          1.99763E+01         8.29594E-11
          2.01861E+01         7.94759E-11
          2.03937E+01         7.63766E-11
          2.05992E+01         7.13430E-11
          2.08026E+01         6.80803E-11
          2.10041E+01         6.54930E-11
          2.12037E+01         6.54143E-11
          2.14014E+01         6.10395E-11
          2.15973E+01         5.44596E-11
          2.17914E+01         5.57905E-11
          2.19838E+01         5.71539E-11
          2.21745E+01         5.35001E-11
          2.23636E+01         5.09797E-11
          2.25511E+01         4.94521E-11
          2.27371E+01         4.33684E-11

